"MY","ACW","GS","G_1"
2.1781033,8.244,0.153112985249609,1
2.032779,9.18,0.155774082150892,1
2.112014,8.3448,0.240104332230985,1
2.1251885,8.9208,0.154808327583596,1
2.0498736,8.6544,0.226884076055139,1
2.0186403,9.0792,0.196820061242906,1
2.0300722,8.388,0.117214359990321,1
2.134048,8.2512,0.00953967284411192,1
2.0737645,8.8848,0.208649547896348,1
1.8504683,9.4176,0.128381765213562,1
1.8013714,9.2592,0.0154182032856625,1
1.7893444,9.2376,0.0680451759608695,1
2.0689033,9.0576,0.311393276732415,1
2.2770425,8.82,-0.299444340504706,1
1.9641411,8.8776,-0.000290214329725131,1
2.017468,8.3592,0.226569250291213,1
1.9460563,9.1872,0.173897549184039,1
1.9262017,9.3816,-0.00910803185310215,1
2.0061686,8.784,0.250088780783117,1
1.9488373,8.8272,0.189128711507074,2
1.9296257,8.7696,0.148333107149228,1
1.9287203,9.3888,0.188506544788834,1
2.0116017,8.892,0.147748783188872,1
2.2650412,7.0128,0.0559858544357121,1
1.7577073,10.296,0.0796340535045601,1
1.6601872,9.7488,-0.102548743971856,1
1.8190229,7.9488,0.0600844031892484,1
1.8345603,9.1656,0.163702517699858,1
1.8097966,8.8848,0.0731283227144741,1
1.8898501,10.2744,0.0220356968679698,1
2.0270217,9.9072,-0.0746708355937153,1
1.8232196,8.3736,-0.171883280375041,1
1.9956931,9.0144,-0.102966257133521,1
1.9112622,8.4744,-0.0897286203911062,1
1.9043199,9.2232,-0.0619960710173473,1
1.9822517,8.4456,0.0649159560236149,1
1.8301255,8.5104,-0.0132479066238739,1
1.778325,8.2944,-0.0693651184160262,1
1.8035856,8.8776,0.0923006514785811,1
1.9325325,8.0856,-0.105367173245177,1
1.7762867,7.6536,-0.0493504176300485,1
1.7889645,8.8056,0.164908982485067,1
1.75577,8.9712,-0.0695890995598165,1
1.6877927,10.0656,-0.0820463894515706,1
1.7659361,8.9928,0.121014440688305,1
1.8461243,9.5256,0.122235020387452,1
1.8413536,9.2304,0.174293556244811,1
1.9363517,9.252,0.187788908109069,2
1.8636499,9.1296,0.167324283682974,1
1.9110725,9.18,0.142118724687025,1
1.9449631,9.756,0.2155966464011,1
1.885617,9.432,0.216648136591539,1
2.0645214,8.2368,0.15333863905631,1
1.9149628,8.5176,0.0389533023536205,1
1.8672488,8.1504,-0.037832890987047,1
