"MY","ACW","GS","G_1"
1.8647226,8.6184,0.00695442140000523,1
1.8414838,7.3296,-0.220284378295764,1
1.7626268,8.1288,-0.249317876794958,1
1.8015806,9.0864,-0.0952185126312543,1
1.8357751,9.252,0.0337989845417906,1
1.7666944,9.3456,-0.00894863341120072,1
1.579798,10.332,-0.430273896604776,1
1.7113063,10.6416,-0.219835496752057,2
1.6594346,9.432,-0.0681313683371991,1
1.6937616,9.5184,-0.594517580717802,1
1.6986008,9.4392,-0.642145438343287,1
1.6797257,8.8272,-0.129975137033034,1
1.6559575,9.3816,0.123898836672306,1
1.7192876,8.9928,0.194222723734565,2
1.8266025,8.712,0.139831099414732,1
1.7721758,9.288,0.21164876751136,1
1.7553243,8.9784,0.24093281896523,1
1.8516195,9.072,0.27312504283851,1
1.6843687,9.2016,0.296114883096889,1
1.7886009,9.2232,0.115537565156119,1
1.7618599,9.4752,0.18472521761898,1
1.7694042,9.1584,0.286804913319647,1
1.8052309,9.3816,0.133698722901536,1
1.7225957,11.052,0.115635138363577,1
1.6895544,9.1224,0.173237004453549,1
1.7135981,10.5048,0.205221213328186,2
1.6682169,9.8208,0.225579748405144,1
1.8584705,8.8992,0.319931831678841,1
1.9401241,7.4376,-0.0296463909474551,1
1.8653948,7.6752,0.0233080556101049,1
1.7147392,8.244,-0.187356485249475,1
1.8141263,8.9208,0.229932234575972,1
1.7561495,8.5824,0.21647684300784,1
1.7854908,9,0.270255322623998,1
1.770842,8.5968,0.302949384720996,1
1.8537655,7.4232,-0.021100641732337,1
1.7934998,8.7624,0.0703755936271045,1
1.7454376,8.3016,0.0484155212933547,1
1.8702963,7.7832,-0.0526889702118933,1
1.6902683,8.4888,-0.419494659528136,1
1.6682179,9.6264,-0.255480330933351,1
1.8927607,8.3808,-0.386302107190713,1
1.7993405,8.3448,-0.146099920033012,1
1.9172758,7.4592,-0.0153011815587524,1
1.8946713,8.8272,-0.113097493103705,1
1.8075791,9.7272,-0.00108832527883351,1
1.8409497,9.3024,0.0101998334101518,1
1.6056734,8.8416,-0.294440216114745,1
2.167197,7.2936,-0.0205361424150033,1
2.1997451,7.2792,0.165484793434152,1
1.9391359,8.7984,0.111359977368265,1
1.7751363,10.1376,-0.0742461363787879,1
1.7438646,9.3816,-0.220525374482386,1
1.7461317,7.6176,-0.24630031209439,1
1.709639,9.4104,0.0167366162315011,1
1.6437115,8.9856,-0.0799168545367138,1
